A00;Χολέρα
A26.9;Ερυσιπελοειδές, μη καθορισμένο  
A27;Λεπτοσπείρωση
A27.0;Ικτεροαιμορραγική λεπτοσπείρωση
A27.8;Άλλες μορφές λεπτοσπείρωσης
A27.9;Λεπτοσπείρωση, μη καθορισμένη
A28;Άλλες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού
A28.0;Παστερέλλωση
A28.1;Νόσος από αμυχές γάτας
A28.2;Εξωεντερική υερσινίωση
A28.8;Άλλες καθορισμένες βακτηριακές ζωοανθρωπονόσοι, που δεν ταξινομούνται αλλού
A28.9;Βακτηριακή ζωοανθρωπονόσος, μη καθορισμένη
A30;Λέπρα [νόσος του Hansen]
A30.0;Ακαθόριστη λέπρα
A30.1;Φυματιώδης λέπρα
A30.2;Οριακή φυματιώδης λέπρα
A30.3;Οριακή λέπρα
A30.4;Οριακή λεπρωματώδης λέπρα
A30.5;Λεπρωματώδης λέπρα
A30.8;Άλλες μορφές λέπρας
A30.9;Λέπρα, μη καθορισμένη
A31;Λοίμωξη από άλλα μυκοβακτηρίδια
A31.0;Πνευμονική μυκοβακτηριδιακή λοίμωξη
A31.1;Δερματική μυκοβακτηριδιακή λοίμωξη
A31.8;Άλλες μυκοβακτηριδιακές λοιμώξεις
A31.9;Μυκοβακτηριδιακή λοίμωξη, μη καθορισμένη
A32;Λιστερίωση
A32.0;Δερματική λιστερίωση
A32.1+;Μηνιγγίτιδα και μηνιγγοεγκεφαλίτιδα από λιστέρια
A32.7;Σηψαιμία από λιστέρια
A32.8;Άλλες μορφές λιστερίωσης
A32.9;Λιστερίωση, μη καθορισμένη
A33;Τέτανος νεογνικός
A34;Τέτανος μαιευτικός
A35;Άλλα είδη τετάνου
A36;Διφθερίτιδα
A36.0;Φαρυγγική διφθερίτιδα
A36.1;Ρινοφαρυγγική διφθερίτιδα
A36.2;Λαρυγγική διφθερίτιδα
A36.3;Δερματική διφθερίτιδα
A36.8;Άλλες μορφές διφθερίτιδας
A36.9;Διφθερίτιδα, μη καθορισμένη
A37;Κοκκύτης
A37.0;Κοκκύτης  από Bordetella pertussis
A37.1;Κοκκύτης από Βordetella parapertussis
A37.8;Κοκκύτης  από άλλα είδη Bordetella
A37.9;Κοκκύτης, μη καθορισμένος
A38;Οστρακιά
A39;Μηνιγγιτιδοκοκκική λοίμωξη
A39.0+;Μηνιγγιτιδοκοκκική μηνιγγίτιδα (G01*)
A39.1+;Σύνδρομο Waterhouse-Friederichsen (E35.1* )
A39.2;Οξεία μηνιγγιτιδοκοκκική σηψαιμία
A39.3;Χρονία μηνιγγιτιδοκοκκική σηψαιμία
A39.4;Μηνιγγιτιδοκοκκική σηψαιμία, μη καθορισμένη
A39.5+;Μηνιγγιτιδοκοκκική καρδιοπάθεια
A39.8;Άλλες μηνιγγιτιδοκοκκικές λοιμώξεις
A39.9;Μηνιγγιτιδοκοκκική λοίμωξη, μη καθορισμένη
A40;Στρεπτοκοκκική σηψαιμία
A40.0;Σηψαιμία από Streptococcus, ομάδας A
A40.1;Σηψαιμία από Streptococcus, ομάδας B
A40.2;Σηψαιμία από Streptococcus, ομάδας D
A40.3;Σηψαιμία από Streptococcus pneumoniae
A40.8;Άλλη στρεπτοκοκκική σηψαιμία
A40.9;Στρεπτοκοκκική σηψαιμία, μη καθορισμένη
A41;Άλλες μορφές σηψαιμίας
A41.0;Σηψαιμία από Staphylococcus aureus
A41.1;Σηψαιμία που οφείλεται σε άλλο καθορισμένο σταφυλόκοκκο.
A41.2;Σηψαιμία  από μη καθορισμένο σταφυλόκοκκο
A41.3;Σηψαιμία  από Haemophilus influenzae
A41.4;Σηψαιμία από αναερόβια
A41.5;Σηψαιμία από άλλους gram- αρνητικούς μικροοργανισμούς
A41.8;Άλλες καθορισμένες μορφές σηψαιμίας
A41.9;Σηψαιμία, μη καθορισμένη
A42;Ακτινομυκητίαση
A42.0;Πνευμονική ακτινομυκητίαση
A42.1;Κοιλιακή ακτινομυκητίαση
A42.2;Τραχηλοπροσωπική ακτινομυκητίαση
A42.7;Σηψαιμία από ακτινομύκητα
A42.8;Άλλες μορφές ακτινομυκητίασης
A42.9;Ακτινομυκητίαση, μη καθορισμένη
A43;Νοκαρδίωση
A43.0;Πνευμονική νοκαρδίωση
A43.1;Δερματική νοκαρδίωση
A43.8;Άλλες μορφές νοκαρδίωσης
A43.9;Νοκαρδίωση, μη καθορισμένη
A44;Μπαρτονέλλωση
A44.0;Συστηματική μπαρτονέλλωση
A44.1;Δερματική και βλενογοννοδερματική μπαρτονέλλωση
A44.8;Άλλες μορφές μπαρτονέλλωσης
A44.9;Μπαρτονέλλωση, μη καθορισμένη
A46;Ερυσίπελας
A48;Άλλα βακτηριακά νοσήματα που δεν ταξινομούνται αλλού
A48.0;Αεριογόνος γάγγραινα
A48.1;Νόσος των Λεγεωναρίων
A48.2;Εξωπνευμονική νόσος των Λεγεωναρίων [Πυρετός Pontiac]
A48.3;Σύνδρομο τοξικής καταπληξίας
A48.4;Πορφυρικός πυρετός της Βραζιλίας
A48.8;Άλλα καθορισμένα βακτηριακά νοσήματα
A49;Βακτηριακή λοίμωξη μη καθορισμένης εντόπισης
A49.0;Σταφυλοκοκκική λοίμωξη, μη καθορισμένης εντόπισης
A49.1;Στρεπτοκοκκική λοίμωξη, μη καθορισμένης εντόπισης
A49.2;Λοίμωξη από Haemophilus influenzae, μη καθορισμένης εντόπισης
A49.3;Λοίμωξη από μυκόπλασμα, μη καθορισμένης εντόπισης
A49.8;Άλλες βακτηριακές λοιμώξεις μη καθορισμένης εντόπισης
A49.9;Βακτηριακή λοίμωξη, μη καθορισμένη
A50;Συγγενής σύφιλη
A50.0;Πρώιμη συγγενής σύφιλη, συμπτωματική 
A50.1;Πρώιμη συγγενής σύφιλη, λανθάνουσα
A50.2;Πρώιμη συγγενής σύφιλη, μη καθορισμένη
A50.3;Όψιμη συγγενής συφιλιδική οφθαλμοπάθεια
A50.4;Όψιμη συγγενής νευροσύφιλη [νεανική νευροσύφιλη]
A50.5;Άλλη όψιμη συγγενής σύφιλη, συμπτωματική
A50.6;Όψιμη συγγενής σύφιλη, λανθάνουσα
A50.7;Όψιμη συγγενής σύφιλη, μη καθορισμένη
A50.9;Συγγενής σύφιλη, μη καθορισμένη
A51;Πρώιμη σύφιλη
A51.0;Πρωτοπαθής σύφιλη των γεννητικών οργάνων
A51.1;Πρωτοπαθής σύφιλη του πρωκτού
A51.2;Πρωτοπαθής σύφιλη άλλων εντοπίσεων
A51.3;Δευτερογενής σύφιλη του δέρματος και των βλεννογόνων
A51.4;Άλλη δευτερογενής σύφιλη
A51.5;Πρώιμη σύφιλη, λανθάνουσα
A51.9;Πρώιμη σύφιλη, μη καθορισμένη
A52;Όψιμη σύφιλη
A52.0+;Καρδιαγγειακή σύφιλη 
A52.1;Συμπτωματική νευροσύφιλη
A52.2;Ασυμπτωματική νευροσύφιλη
A52.3;Νευροσύφιλη, μη καθορισμένη 
A52.7;Άλλη συμπτωματική όψιμη σύφιλη
A52.8;Όψιμη σύφιλη, λανθάνουσα
A52.9;Όψιμη σύφιλη, μη καθορισμένη
A53;Άλλη και μη καθορισμένη σύφιλη
A53.0;Λανθάνουσα σύφιλη, μη καθορισμένη ως πρώιμη ή όψιμη
A53.9;Σύφιλη, μη καθορισμένη
A54;Γονοκοκκικές λοιμώξεις
A54.0;Γονοκοκκική λοίμωξη του κατώτερου ουρογεννητικού συστήματος χωρίς περιουρηθρικό απόστημα ή απόστημα των επικουρικών αδένων
A54.1;Γονοκοκκική λοίμωξη του κατώτερου ουρογεννητικού συστήματος με περιουρηθρικό απόστημα και απόστημα των επικουρικών αδένων
A54.2;Γονοκοκκική πυελοπεριτονίτιδα και άλλες γονοκοκκικές ουρογεννητικές λοιμώξεις 
A54.3;Γονοκοκκική λοίμωξη του οφθαλμού
A54.4+;Γονοκοκκική λοίμωξη του μυοσκελετικού συστήματος
A54.5;Γονοκοκκική φαρυγγίτιδα
A54.6;Γονοκοκκική λοίμωξη του πρωκτού και του ορθού
A54.8;Άλλες γονοκοκκικές λοιμώξεις
A54.9;Γονοκοκκική λοίμωξη, μη καθορισμένη
A55;Χλαμυδιακό λεμφοκοκκίωμα (αφροδίσιο)
A56;Άλλα σεξουαλικώς μεταδιδόμενα χλαμυδιακά νοσήματα 
A56.0;Χλαμυδιακή λοίμωξη του κατώτερου ουρογεννητικού συστήματος
A56.1;Χλαμυδιακή λοίμωξη του πυελικού περιτοναίου και άλλων οργάνων του ουρογεννητικού συστήματος.
A56.2;Χλαμυδιακή λοίμωξη του ουρογεννητικού συστήματος, μη καθορισμένη
A56.3;Χλαμυδιακή λοίμωξη του πρωκτού και του ορθού 
A56.4;Χλαμυδιακή λοίμωξη του φάρυγγα
A56.8;Σεξουαλικώς μεταδιδόμενη χλαμυδιακή λοίμωξη άλλων εντοπίσεων
A57;Μαλακό έλκος
A58;Αφροδίσιο κοκκίωμα
A59;Τριχομονάδωση
A59.0;Τριχομονάδωση του ουρογεννητικού συστήματος  
A59.8;Tριχομονάδωση άλλων εντοπίσεων
A59.9;Τριχομονάδωση, μη καθορισμένη
A60;Πρωκτογεννητική ερπητική λοίμωξη [από τον ιό του απλού έρπητα]
A60.0;Ερπητική λοίμωξη των γεννητικών οργάνων και του ουρογεννητικού συστήματος
A60.1;Ερπητική λοίμωξη του περιπρωκτικού δέρματος και του ορθού
A60.9;Πρωκτογεννητική ερπητική λοίμωξη, μη καθορισμένη
A63;Άλλα νοσήματα που μεταδίδονται κυρίως με τη σεξουαλική οδό, που δεν ταξινομούνται αλλού
A63.0;Οξυτενή κονδυλώματα του πρωκτού και των γεννητικών οργάνων (αφροδίσια)
A63.8;Άλλα καθορισμένα νοσήματα που μεταδίδονται κυρίως με τη σεξουαλική οδό
A64;Μη καθορισμένο σεξουαλικώς μεταδιδόμενο νόσημα 
A65;Μη αφροδίσια σύφιλη
A66;Τροπική μόρωση [τροπικό θήλωμα] [Yaws]
A66.0;Αρχικές βλάβες της τροπικής μόρωσης
A66.1;Πολλαπλά θηλώματα και υγρή «δύστροπη» τροπική μόρωση [wet crab yaws]
A66.2;Άλλες πρώιμες δερματικές βλάβες της τροπικής μόρωσης
A66.3;Υπερκεράτωση της τροπικής μόρωσης
A66.4;Κομμιώματα και έλκη της τροπικής μόρωσης
A66.5;Gangosa [Διαβρωτική μόρωση]
A66.6;Βλάβες οστών και αρθρώσεων σε τροπική μόρωση
A66.7;Άλλες εκδηλώσεις της τροπικής μόρωσης
A66.8;Λανθάνουσα τροπική μόρωση
A66.9;Τροπική μόρωση, μη καθορισμένη
A67;Πίντα [κηλιδώδης νόσος]
A67.0;Πρώιμες βλάβες της κηλιδώδους νόσου
A67.1;Ενδιάμεσες βλάβες της κηλιδώδους νόσου
A67.2;Όψιμες βλάβες της κηλιδώδους νόσου
A67.3;Μικτές βλάβες της κηλιδώδους νόσου
A67.9;Πίντα [κηλιδώδης νόσος], μη καθορισμένη
A68;Υπόστροφος πυρετός 
A68.0;Υπόστροφος πυρετός που μεταδίδεται με φθείρες
A68.1;Υπόστροφος πυρετός που μεταδίδεται με κρότωνες
A68.9;Υπόστροφος πυρετός, μη καθορισμένος
A69;Άλλες σπειροχαιτικές λοιμώξεις
A69.0;Νεκρωτική ελκώδης στοματίτιδα
A69.1;Άλλες λοιμώξεις του Vincent
A69.2;Νόσος Lyme
A69.8;Άλλες καθορισμένες σπειροχαιτικές λοιμώξεις
A69.9;Σπειροχαιτική λοίμωξη, μη καθορισμένη
A70;Λοίμωξη από Chlamydia psittaci
A71;Τράχωμα
A71.0;Αρχικό στάδιο του τραχώματος
A71.1;Ενεργό στάδιο του τραχώματος
A71.9;Τράχωμα, μη καθορισμένο. 
A74;Άλλα νοσήματα που προκαλούνται από χλαμύδια
A74.0+;Χλαμυδιακή επιπεφυκίτιδα (H13.1* )
A74.8;Άλλα χλαμυδιακά νοσήματα 
A74.9;Χλαμυδική λοίμωξη, μη καθορισμένη
A75;Πυρετός τύφου [typhus fever]
A75.0;Επιδημικός πυρετός τύφου από  Rickettsia prowazekii που μεταδίδεται με τις φθείρες
A75.1;Υποτροπιάζων (παροξυσμικός) τύφος [νόσος του Brill]
A75.2;Τύφος (πυρετός) από Rickettsia typhi
A75.3;Τύφος (πυρετός) από Rickettsia tsutsugamushi
A75.9;Τύφος (πυρετός), μη καθορισμένος
A77;Κηλιδοβλατιδώδης πυρετός [κροτωνογενείς ρικετσιώσεις]
A77.0;Κηλιδώδης πυρετός από Rickettsia rickettsii
A77.1;Κηλιδοβλατιδώδης πυρετός από Rickettsia conorii
A77.2;Κηλιδώδης πυρετός από Rickettsia sibirica
A77.3;Κηλιδώδης πυρετός από Rickettsia australis
A77.8;Άλλοι κηλιδώδεις πυρετοί
A77.9;Κηλιδώδης πυρετός, μη καθορισμένος
A78;Πυρετός Q
A79;Άλλες ρικετσιώσεις
A79.0;Πυρετός των χαρακωμάτων  
A79.1;Ρικετσιακή ανεμευλογιά από Rickettsia akari
A79.8;Άλλες καθορισμένες ρικετσιώσεις
A79.9;Ρικετσίωση, μη καθορισμένη
A80;Οξεία πολιομυελίτιδα
A80.0;Οξεία παραλυτική πολιομυελίτιδα, που σχετίζεται με το εμβόλιο
A80.1;Οξεία παραλυτική πολιομυελίτιδα, από άγριο ιό, εισαγόμενο
A80.2;Οξεία παραλυτική πολιομυελίτιδα, από άγριο ιό, αυτόχθονα
A80.3;Οξεία παραλυτική πολιομυελίτιδα, άλλη και μη καθορισμένη
A80.4;Οξεία μη παραλυτική πολιομυελίτιδα
A80.9;Οξεία πολιομυελίτιδα, μη καθορισμένη
A81;Άτυπες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος.
A81.0;Νόσος Creutzfeldt-Jakob
A81.1;Υποξεία σκληρυντική πανεγκεφαλίτιδα
A81.2;Προϊούσα πολυεστιακή λευκοεγκεφαλοπάθεια
A81.8;Άλλες άτυπες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος
A81.9;Άτυπη ιογενής λοίμωξη του κεντρικού νευρικού συστήματος, μη καθορισμένη
A82;Λύσσα
A82.0;Λύσσα των δασών
A82.1;Αστικός τύπος λύσσας
A82.9;Λύσσα, μη καθορισμένη
A83;Ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια
A83.0;Ιαπωνική εγκεφαλίτιδα
A83.1;Δυτική εγκεφαλίτιδα των αλόγων
A83.2;Ανατολική εγκεφαλίτιδα των αλόγων
A83.3;Εγκεφαλίτιδα του St. Louis
A83.4;Αυστραλιανή εγκεφαλίτιδα
A83.5;Εγκεφαλίτιδα της Καλιφόρνιας
A83.6;Νόσος από ιό Rocio
A83.8;Άλλη ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια
A83.9;Ιογενής εγκεφαλίτιδα που μεταδίδεται με κουνούπια, μη καθορισμένη
A84;Κροτωνογενής ιογενής εγκεφαλίτιδα
A84.0;Κροτωνογενής εγκεφαλίτιδα της Άπω Ανατολής [Ρωσσική εγκεφαλίτιδα άνοιξης-καλοκαιριού]
A84.1;Κροτωνογενής εγκεφαλίτιδα της Κεντρικής Ευρώπης
A84.8;Άλλη κροτωνογενής ιογενής εγκεφαλίτιδα
A84.9;Ιογενής κροτωνογενής εγκεφαλίτιδα, μη καθορισμένη
A85;Άλλη ιογενής εγκεφαλίτιδα, που δεν ταξινομείται αλλού
A85.0+;Εγκεφαλίτιδα από εντεροϊό (G05.1* )
A85.1+;Εγκεφαλίτιδα από αδενοϊό (G05.1* )
A85.2;Ιογενής εγκεφαλίτιδα μεταδιδόμενη με αρθρόποδα, μη καθορισμένη
A85.8;Άλλη καθορισμένη ιογενής εγκεφαλίτιδα
A86;Μη καθορισμένη ιογενής εγκεφαλίτιδα 
A87;Ιογενής μηνιγγίτιδα
A87.0+;Μηνιγγίτιδα από εντεροϊό (G02.0* )
A87.1+;Μηνιγγίτιδα από αδενοϊό (G02.0* )
A87.2;Λεμφοκυτταρική χοριομηνιγγίτιδα
A87.8;Άλλη ιογενής μηνιγγίτιδα
A87.9;Ιογενής μηνιγγίτιδα, μη καθορισμένη
A88;Άλλες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος, που δεν ταξινομούνται αλλού
A88.0;Εξανθηματικός πυρετός από εντεροϊό [εξάνθημα της Βοστώνης]
A88.1;Επιδημικός ίλιγγος
A88.8;Άλλες καθορισμένες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος
A89;Μη καθορισμένη ιογενής λοίμωξη του κεντρικού νευρικού συστήματος
A90;Δάγγειος πυρετός [κλασσικός Δάγγειος]
A91;Δάγγειος αιμορραγικός πυρετός
A92;Άλλοι ιογενείς πυρετοί που μεταδίδονται με κουνούπια
A92.0;Ιογενής νόσος  Chikungunya
A92.1;Πυρετός O'nyong-nyong
A92.2;Πυρετός των αλόγων της Βενεζουέλας
A92.3;Ιογενής λοίμωξη του Δυτικού Νείλου [West Nile]
A92.4;Πυρετός της κοιλάδας Rift [Valley]
A92.8;Άλλοι καθορισμένοι ιογενείς πυρετοί που μεταδίδονται με κουνούπια
A92.9;Ιογενής πυρετός που μεταδίδεται με κουνούπια, μη καθορισμένος
A93;Άλλοι ιογενείς πυρετοί που μεταδίδονται με αρθρόποδα, που δεν ταξινομούνται αλλού
A93.0;Ιογενής νόσος Oropouche 
A93.1;Πυρετός Sandfly
A93.2;Κροτωνογενής πυρετός του Κολοράντο
A93.8;Άλλοι καθορισμένοι ιογενείς πυρετοί που μεταδίδονται με αρθρόποδα
A94;Μη καθορισμένος ιογενής πυρετός μεταδιδόμενος με αρθρόποδα
A95;Κίτρινος πυρετός
A95.0;Κίτρινος πυρετός των δασών
A95.1;Κίτρινος πυρετός των πόλεων
A95.9;Κίτρινος πυρετός, μη καθορισμένος
A96;Αιμορραγικός πυρετός από αρεναϊούς
A96.0;Αιμορραγικός πυρετός από ιό Junin
A96.1;Αιμορραγικός πυρετός από ιό Machupo
A96.2;Πυρετός της Λάσσα [Lassa]
