A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
A400225;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΥΠΟΣΚΛΗΡΙΔΙΕΣ ΠΑΡΑΚΕΝΤΗΣΕΙΣ
A400229;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΟΠΕΣ ΚΡΑΝΙΟΑΝΑΤΡΗΣΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΚΟΙΛΙΟΓΡΑΦΙΑΣ
A400231;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΠΛΑΣΤΙΚΗ Ή ΕΠΑΝΑΦΟΡΑ ΣΥΜΠΙΕΣΤΙΚΟΥ ΚΡΑΝΙΑΚΟΥ ΚΑΤΑΓΜΑΤΟΣ, ΕΠΙΣΚΛΗΡΙΔΙΟΥ (ΑΠΛΟΥ Ή ΣΥΝΘΕΤΟΥ)
A400233;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΑΓΓΕΙΑ
A400237;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΤΟΝ ΑΣΘΕΝΗ ΣΕ ΚΑΘΙΣΤΗ ΣΤΑΣΗ
A400241;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΕΠΕΜΒΑΣΕΙΣ ΠΑΡΟΧΕΤΕΥΣΗΣ ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ
A400245;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ
A400401;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ, ΤΟΥΣ ΜΥΕΣ ΚΑΙ  ΤΑ ΝΕΥΡΑ ΤΗΣ ΚΕΦΑΛΗΣ, ΤΟΥ ΑΥΧΕΝΑ ΚΑΙ ΤΟΥ ΟΠΙΣΘΙΟΥ ΤΜΗΜΑΤΟΣ ΤΟΥ ΚΟΡΜΟΥ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400441;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ, ΓΙΑ ΗΛΙΚΙΕΣ ΕΝΟΣ ΕΤΟΥΣ ΚΑΙ ΠΑΝΩ
A400445;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ, ΤΟΝ ΘΥΡΕΟΕΙΔΗ, ΤΟΝ ΛΑΡΥΓΓΑ, ΤΗΝ ΤΡΑΧΕΙΑ ΚΑΙ ΤΟ ΛΕΜΦΙΚΟ ΣΥΣΤΗΜΑ ΤΟΥ ΑΥΧΕΝΑ· ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΘΥΡΕΟΕΙΔΗ
A400453;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΛΑΡΥΓΓΑ ΚΑΙ ΤΗΝ ΤΡΑΧΕΙΑ ΣΕ ΠΑΙΔΙΑ ΜΙΚΡΟΤΕΡΑ ΤΟΥ ΕΝΟΣ ΕΤΟΥΣ
A400501;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ  ΠΕΡΑΙΤΕΡΩ
A400505;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΑ ΚΥΡΙΑ ΑΓΓΕΙΑ ΤΟΥ ΑΥΧΕΝΑ· ΑΠΛΗ ΑΠΟΛΙΝΩΣΗ
A400601;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400605;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΕΠΑΝΟΡΘΩΤΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ (Π.Χ. ΜΕΙΩΤΙΚΗ Ή ΑΥΞΗΤΙΚΗ ΠΛΑΣΤΙΚΗ ΣΤΗΘΟΥΣ, ΜΥΙΚΟΙ ΚΡΗΜΝΟΙ)
A400609;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΡΙΖΙΚΕΣ Ή ΤΡΟΠΟΠΟΙΗΜΕΝΕΣ-ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ
A400613;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΡΙΖΙΚΕΣ Ή ΤΡΟΠΟΠΟΙΗΜΕΝΕΣ-ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΓΥΝΑΙΚΕΙΟ ΣΤΗΘΟΣ ΜΕ ΕΚΤΟΜΗ ΟΖΟΥ
A400621;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΔΕΡΜΑ ΣΤΑ ΑΚΡΑ, ΤΟ ΠΡΟΣΘΙΟ ΤΜΗΜΑ ΤΟΥ ΚΟΡΜΟΥ ΚΑΙ ΤΟ ΠΕΡΙΝΕΟ· ΗΛΕΚΤΡΙΚΗ ΑΝΑΤΑΞΗ ΑΡΡΥΘΜΙΩΝ
A400701;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400705;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ
A400709;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΚΛΕΙΔΑ ΚΑΙ ΤΗΝ ΩΜΟΠΛΑΤΗ· ΒΙΟΨΙΑ ΣΤΗΝ ΚΛΕΙΔΑ
A400741;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400745;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΘΩΡΑΚΟΠΛΑΣΤΙΚΗ (ΟΠΟΙΟΥΔΗΠΟΤΕ ΕΙΔΟΥΣ)
A400749;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΜΕΡΙΚΗ ΕΚΤΟΜΗ ΤΩΝ ΠΛΕΥΡΩΝ· ΡΙΖΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ (Π.Χ. ΘΩΡΑΚΑΣ ΥΠΟΔΗΜΑΤΟΠΟΙΩΝ)
A400801;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΟΛΕΣ ΤΙΣ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΙΣΟΦΑΓΟ
A400841;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΡΟΓΧΟΣΚΟΠΗΣΗΣ) ΔΕΝ  ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400845;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΒΙΟΨΙΑ ΔΙ' ΑΝΑΡΡΟΦΗΣΗΣ ΜΕ ΒΕΛΟΝΑ ΑΠΟ ΤΟΝ ΥΠΕΖΩΚΟΤΑ
A400849;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΠΑΡΑΚΕΝΤΗΣΗ ΤΟΥ ΠΝΕΥΜΟΝΟΣ
A400857;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΧΩΡΙΣ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ
A400859;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΜΕ ΚΛΕΙΣΤΟ ΘΩΡΑΚΙΚΟ ΤΟΙΧΩΜΑ· ΜΕΣΟΘΩΡΑΚΟΣΚΟΠΗΣΗ ΚΑΙ ΔΙΑΓΝΩΣΤΙΚΗ ΘΩΡΑΚΟΣΚΟΠΗΣΗ ΜΕ ΜΗΧΑΝΙΚΟ ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ
A400861;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΜΟΝΙΜΟΥ ΔΙΑΦΛΕΒΙΟΥ ΒΗΜΑΤΟΔΟΤΗ
A400865;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΠΡΟΣΒΑΣΗ ΣΤΗΝ ΚΕΝΤΡΙΚΗ ΦΛΕΒΙΚΗ ΚΥΚΛΟΦΟΡΙΑ
A400869;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΔΙΑΦΛΕΒΙΑ ΕΙΣΑΓΩΓΗ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗ TOY  ΑΠΙΝΙΔΩΤΗ-ΒΗΜΑΤΟΔΟΤΗ
A400875;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΚΑΡΔΙΑΚΕΣ ΗΛΕΚΤΡΟΦΥΣΙΟΛΟΓΙΚΕΣ ΕΠΕΜΒΑΣΕΙΣ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΦΑΙΡΕΣΗΣ ΜΕ ΡΑΔΙΟΣΥΧΝΟΤΗΤΑ
A400879;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΤΡΑΧΕΙΟΒΡΟΓΧΙΚΗ ΑΝΑΚΑΤΑΣΚΕΥΗ
A400881;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΚΑΙ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)·ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ
A400883;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ, ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΜΕ ΜΗΧΑΝΙΚΟ  ΑΕΡΙΣΜΟΥ ΤΟΥ ΕΝΟΣ ΠΝΕΥΜΟΝΑ
A400885;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΘΩΡΑΚΟΤΟΜΗΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΠΝΕΥΜΟΝΕΣ, ΤΟΝ ΥΠΕΖΩΚΟΤΑ, ΤΟ ΔΙΑΦΡΑΓΜΑ ΚΑΙ ΤΟ ΜΕΣΟΘΩΡΑΚΙΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΘΩΡΑΚΟΣΚΟΠΗΣΗΣ)· ΑΠΟΦΛΟΙΩΣΗ ΤΟΥ ΥΠΕΖΩΚΟΤΟΣ
