gr;"EDMA code";"GR code";Αγγλική Ονομασία;Συντομογραφία;Ελληνική Ονομασία;’λλη Ονομασία;Σχόλια;Ταυτίζεται με;Επείγουσα;Κατηγορία (1,2,3)
11;11.04.01;11.04.01;Electrolyte Electrodes ;;ΗΛΕΚΤΡΟΛΥΤΕΣ ( ΜΕ ΗΛΕΚΤΡΟΔΙΑ);;;;;s2
11;11.04.01.02;11.04.01.02.001;Calcium  - Electrodes;Ca (electrode);ΑΣΒΕΣΤΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.01.02;11.04.01.02.002;Calcium ionized  - Electrodes;Ca++;ΙΟΝΙΣΜΕΝΟ ΑΣΒΕΣΤΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);iCa;;;ΝΑΙ;3
11;11.04.01.03;11.04.01.03.001;Chloride   - Electrodes;Cl;ΧΛΩΡΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.01.04;11.04.01.04.001;Lithium  - Electrodes;Li;ΛΙΘΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΌΧΙ;2
11;11.04.01.05;11.04.01.05.001;Magnesium  - Electrodes;Mg (electrode);ΜΑΓΝΗΣΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.01.05;11.04.01.05.002;Magnesium  - Electrodes;Mg++;ΙΟΝΙΣΜΕΝΟ ΜΑΓΝΗΣΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;3
11;11.04.01.06;11.04.01.06.001;Potassium  - Electrodes;K;ΚΑΛΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.01.07;11.04.01.07.001;Sodium  - Electrodes;Na;ΝΑΤΡΙΟ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.01.08;11.04.01.08.001;Carbon Dioxide (Bicarbonate)   - Electrodes;HCO3;ΔΙΤΤΑΝΘΡΑΚΙΚΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;1
11;11.04.03.01;11.04.03.01.001;Creatinine  - Electrodes;CREAT (electrode);ΚΡΕΑΤΙΝΙΝΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;2
11;11.04.03.02;11.04.03.02.001;Glucose  - Electrodes;GLU (electrode);ΓΛΥΚΟΖΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;2
11;11.04.03.04;11.04.03.04.001;Lactate  - Electrodes;LACTATE;ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;11.70.31.04.001;ΝΑΙ;2
11;11.04.03.05;11.04.03.05.001;Urea  - Electrodes;UREA (electrode);ΟΥΡΙΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;11.70.31.05.001;ΝΑΙ;2
11;11.04.03.06;11.04.03.06.001;Bilirubin - Electrodes;TBILL;ΟΛΙΚΗ ΧΟΛΕΡΥΘΡΙΝΗ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;;ΝΑΙ;2
11;;11.05;Trace elements;;ΙΧΝΟΣΤΟΙΧΕΙΑ;;;;;s1
11;;11.05.01;Trace elements;;ΙΧΝΟΣΤΟΙΧΕΙΑ;;;;;s2
11;;11.05.01.01.001;Aluminium;Al;ΑΡΓΙΛΙΟ;;ΟΡΟΣ;;ΌΧΙ;3
11;;11.05.01.02.001;Arsenate;As;ΑΡΣΕΝΙΚΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.03.001;Kadmium;Cd;ΚΑΔΜΙΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.04.001;MANGANESE;Mn;ΜΑΓΓΑΝΙΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.05.001;LEAD;Pb;ΜΟΛΥΒΔΟΣ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.06.001;NICKEL;Ni;ΝΙΚΕΛΙΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.07.001;SELENIUM;Se;ΣΕΛΙΝΙΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.08.001;MERCURY;Hg;ΥΔΡΑΡΓΥΡΟΣ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;;11.05.01.09.001;CHROMIUM;Cr;ΧΡΩΜΙΟ;;ΟΡΟΣ/ΟΥΡΑ;;ΌΧΙ;3
11;11.70;11.70;Clinical Chemistry - Rapid Tests & POC;;ΕΞΕΤΑΣΕΙΣ ΜΕ ΜΕΘΟΔΟΥΣ ΤΑΧΕΙΑΣ ΑΝΑΛΥΣΗΣ Η ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ ΤΟΥ ΑΣΘΕΝΟΥΣ (POCT);;;;;s1
11;11.70.01;11.70.01;Blood Test Strips;;ΕΞΕΤΑΣΕΙΣ ΑΙΜΑΤΟΣ ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ ;;;;;s2
11;11.70.01.01;11.70.01.01.001;Glucose Test Strips;;ΓΛΥΚΟΖΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);ΣΑΚΧΑΡΟ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;ΝΑΙ;1
11;11.70.01.02;11.70.01.02.001;Cholesterol Test Strips;;ΧΟΛΗΣΤΕΡΟΛΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΌΧΙ;1
11;11.70.01.03;11.70.01.03.001;HDL Test Strips;;HDL (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΌΧΙ;2
11;11.70.01.04;11.70.01.04.001;Lactate Test Strips;;ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΌΧΙ;2
11;11.70.01.05;11.70.01.05.001;Triglyceride Test Strips;;ΤΡΙΓΛΥΚΕΡΙΔΙΑ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΌΧΙ;1
11;11.70.01.06;11.70.01.06.001;Urea Test Strips;;ΟΥΡΙΑ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΝΑΙ;1
11;11.70.01.07;11.70.01.07.001;HbA1c Test Strips;;ΓΛΥΚΟΖΥΛΙΩΜΕΝΗ/ΓΛΥΚΙΩΜΕΝΗ ΑΙΜΟΣΦΑΙΡΙΝΗ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΌΧΙ;1
11;11.70.01.08;11.70.01.08.001;Ketone Test Strips;;ΚΕΤΟΝΕΣ (ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ);;;;ΝΑΙ;1
11;11.70.02;11.70.02;Urine Testing;;ΕΞΕΤΑΣΕΙΣ ΟΥΡΩΝ ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ;;;;;s2
11;11.70.02.01;11.70.02.01.001;Urine Single Test Strips (incl. tablets);;ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΤΑΙΝΙΕΣ ΜΙΑΣ ΠΑΡΑΜΕΤΡΟΥ (ΣΑΚΧΑΡΟ, ΚΕΤΟΝΕΣ, ΛΕΥΚΩΜΑ);;;;ΝΑΙ;1
11;11.70.02.02;11.70.02.02.001;Urine Multi-constituent Test Strips (manual);;ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΠΟΛΥΠΑΡΑΜΕΤΡΙΚΕΣ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ (ΜΗ ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ) ;;;;ΝΑΙ;1
11;11.70.02.03;11.70.02.03.001;Urine Multi-constituent Test Strips (automated);;ΕΞΕΤΑΣΗ ΟΥΡΩΝ ΜΕ ΠΟΛΥΠΑΡΑΜΕΤΡΙΚΕΣ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ (ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ) ;;;;ΝΑΙ;1
11;11.70.02.10;11.70.02.10.001;Urine SedimentTest Kit (manual);;ΑΝΑΛΥΣΗ ΙΖΗΜΑΤΟΣ ΟΥΡΩΝ (ΜΗ ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ);;;;ΝΑΙ;1
11;11.70.02.11;11.70.02.11.001;Urine Sediment Test Kit (automated);;ΑΝΑΛΥΣΗ ΙΖΗΜΑΤΟΣ ΟΥΡΩΝ (ΑΥΤΟΜΑΤΕΣ ΜΕΘΟΔΟΙ);;;;ΝΑΙ;2
11;11.70.02.11;11.70.02.11.002;Urinary stone analysis;;ΑΝΑΛΥΣΗ ΟΥΡΟΛΙΘΩΝ;;;;ΌΧΙ;2
11;11.70.03;11.70.03;Faeces Tests;;ΕΞΕΤΑΣΕΙΣ ΚΟΠΡΑΝΩΝ ΜΕ ΤΑΧΥΔΙΑΓΝΩΣΤΙΚΕΣ ΤΑΙΝΙΕΣ;;;;;s2
11;11.70.03.01;11.70.03.01.001;Faecal Occult Blood;FOB;ΑΝΙΧΝΕΥΣΗ ΑΙΜΟΣΦΑΙΡΙΝΗΣ ΣΤΑ ΚΟΠΡΑΝΑ;MAYER ΚΟΠΡΑΝΩΝ;;;ΝΑΙ;1
11;11.70.03.02;11.70.03.02.001;Albumin in stool (Meconium);;ΑΝΙΧΝΕΥΣΗ ΑΛΒΟΥΜΙΝΗΣ ΣΤΑ ΚΟΠΡΑΝΑ;;;;ΌΧΙ;2
11;11.70.30;11.70.30;Clinical Chemistry - POC;;ΕΞΕΤΑΣΕΙΣ ΚΛΙΝΙΚΗΣ ΧΗΜΕΙΑΣ ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ (POCT);;;;;s2
11;11.70.31;11.70.31;Blood Gas Electrodes POC;;ΕΞΕΤΑΣΕΙΣ ΑΕΡΙΩΝ ΑΙΜΑΤΟΣ/ΗΛΕΚΤΡΟΛΥΤΩΝ/ΜΕΤΑΒΟΛΙΤΩΝ ΠΑΡΑ ΤΗΝ ΚΛΙΝΗ;;;;;s2
11;11.70.31.01;11.70.31.01.001;Carbon Dioxide  - Electrodes;pCO2;ΔΙΟΞΕΙΔΙΟ ΤΟΥ ΑΝΘΡΑΚΑ (ΜΕΡΙΚΗ ΠΙΕΣΗ);;;;ΝΑΙ;1
11;11.70.31.02;11.70.31.02.001;pH  - Electrodes;pH;PH (ΟΛΙΚΟΥ ΑΙΜΑΤΟΣ);;;;ΝΑΙ;1
11;11.70.31.03;11.70.31.03.001;Oxygen  - Electrodes;pO2;ΟΞΥΓΟΝΟ (ΜΕΡΙΚΗ ΠΙΕΣΗ);;;;ΝΑΙ;1
11;11.70.31.04;11.70.31.04.001;Lactate  - Electrodes;;ΓΑΛΑΚΤΙΚΟ ΟΞΥ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;11.04.03.04.001;ΝΑΙ;2
11;11.70.31.05;11.70.31.05.001;Urea  - Electrodes;;ΟΥΡΙΑ (ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΜΕ ΗΛΕΚΤΡΟΔΙΟ);;;11.04.03.05.001;ΝΑΙ;2
12;;12;IMMUNOCHEMISTRY (IMMUNOLOGY);;ΑΝΟΣΟΧΗΜΙΚΕΣ ΕΞΕΤΑΣΕΙΣ;;;;;mt
12;12.01;12.01;Specific Proteins;;ΕΙΔΙΚΕΣ ΠΡΩΤΕΙΝΕΣ;;;;;s1
12;12.01.03;12.01.03;Transport Proteins;;ΠΡΩΤΕΙΝΕΣ ΜΕΤΑΦΟΡΑΣ;;;;;s2
12;12.01.03.01;12.01.03.01.001;Albumin;;ΑΛΒΟΥΜΙΝΗ ΟΥΡΩΝ;ΛΕΥΚΩΜΑΤΙΝΗ ΟΥΡΩΝ;Μικροαλβουμίνη ούρων;;ΌΧΙ;1
12;12.01.03.01;12.01.03.01.002;uAlbumin;;ΛΕΥΚΩΜΑ ΟΥΡΩΝ/ΕΝΥ;;;;ΌΧΙ;2
12;12.01.03.02;12.01.03.02.001;Ceruloplasmin;;ΣΕΡΟΥΛΟΠΛΑΣΜΙΝΗ;;;;ΌΧΙ;1
12;12.01.03.03;12.01.03.03.001;Haptoglobin;;ΑΠΤΟΣΦΑΙΡΙΝΗ;;;;ΌΧΙ;2
12;12.01.03.04;12.01.03.04.001;Hemopexin;;ΑΙΜΟΠΗΞΙΝΗ;;;;ΌΧΙ;2
